Release point #, Memory Utilization, # of blocks searched before releasing, Counts made before release, Memory request size of release
Release #183, 0.9865, 0.0, 0, 9436
Release #184, 0.4569, 2.0, 2, 5472
Release #185, 0.7913, 0.0, 0, 5609
Release #186, 0.4998, 0.0, 0, 4996
Release #187, 0.3828, 2.0, 2, 6394
Release #188, 0.6548, 0.0, 0, 8804
Release #189, 0.6584, 0.0, 0, 6335
Release #190, 0.9075, 0.0, 0, 5149
Release #191, 0.6927, 0.0, 0, 5463
Release #192, 0.2703, 0.0, 0, 8334
Release #193, 0.5784, 0.0, 0, 8310
Release #194, 0.7407, 0.0, 0, 9006
Release #195, 0.7976, 0.0, 0, 4609
Release #196, 0.3875, 0.0, 0, 7416
Release #197, 0.7081, 0.0, 0, 3732
Release #198, 0.5855, 0.0, 0, 6761
Release #199, 0.8655, 0.0, 0, 6509
Release #200, 0.8684, 0.0, 0, 5581
Release #201, 0.5121, 0.0, 0, 5051
Release #202, 0.9212, 0.0, 0, 6626
Release #203, 0.7856, 0.0, 0, 5412
Release #204, 0.8785, 0.0, 0, 6166
Release #205, 0.3514, 2.0, 2, 8606
Release #206, 0.7952, 0.0, 0, 5454
Release #207, 0.9619, 0.0, 0, 6607
Release #208, 0.393, 2.0, 2, 5092
Release #209, 0.692, 0.0, 0, 9707
Release #210, 0.7172, 0.0, 0, 3164
Release #211, 0.7106, 0.0, 0, 9311
Release #212, 0.6835, 0.0, 0, 8416
Release #213, 0.611, 0.0, 0, 7577
Release #214, 0.5806, 0.0, 0, 7492
Release #215, 0.91, 0.0, 0, 5713
Release #216, 0.7546, 0.0, 0, 6574
Release #217, 0.1155, 2.0, 2, 3517
Release #218, 0.3539, 0.0, 0, 7430
Release #219, 0.774, 0.0, 0, 5825
Release #220, 0.6193, 0.0, 0, 8888
Release #221, 0.2598, 3.0, 3, 6822
Release #222, 0.5592, 0.0, 0, 8570
Release #223, 0.7113, 0.0, 0, 7211
Release #224, 0.732, 0.0, 0, 3731
Release #225, 0.3586, 0.0, 0, 9102
Release #226, 0.4996, 0.0, 0, 9153
Release #227, 0.7201, 0.0, 0, 7764
Release #228, 0.7209, 0.0, 0, 9058
Release #229, 0.7043, 0.0, 0, 6653
Release #230, 0.4078, 0.0, 0, 8824
Release #231, 0.5098, 0.0, 0, 5194
Release #232, 0.9277, 0.0, 0, 5671
Release #233, 0.4721, 0.0, 0, 5744
Release #234, 0.8615, 0.0, 0, 6340
Release #235, 0.8012, 0.0, 0, 7883
Release #236, 0.791, 0.0, 0, 6356
Release #237, 0.9957, 0.0, 0, 4254
Release #238, 0.8715, 0.0, 0, 4914
Release #239, 0.9886, 0.0, 0, 7291
Release #240, 0.7848, 0.0, 0, 5798
Release #241, 0.6315, 0.0, 0, 8570
Release #242, 0.0211, 2.0, 2, 9711
Release #243, 0.9866, 0.0, 0, 1629
Release #244, 0.8547, 0.0, 0, 5741
Release #245, 0.6079, 0.0, 0, 5814
Release #246, 0.7053, 0.0, 0, 5820
Release #247, 0.7839, 0.0, 0, 3039
Release #248, 0.8775, 0.0, 0, 7389
Release #249, 0.4768, 2.0, 2, 1906
Release #250, 0.9618, 0.0, 0, 5057
Release #251, 0.4053, 0.0, 0, 6268
Release #252, 0.8637, 0.0, 0, 5860
Release #253, 0.4884, 0.0, 0, 9826
Release #254, 0.4828, 0.0, 0, 9275
Release #255, 0.6388, 0.0, 0, 8357
Release #256, 0.5402, 0.0, 0, 9992
Release #257, 0.8894, 0.0, 0, 7437
Release #258, 0.0397, 2.0, 2, 9265
Release #259, 0.9593, 0.0, 0, 4928
